utc,Program:Slide_Table.Slide_Tbl_Position_KPP,Program:Slide_Table.Slide_Tbl_Position_Loop_Error,Program:Slide_Table.Slide_Tbl_Position_Loop_Pct_Cntrl,Program:Slide_Table.Slide_Tbl_Position_Vernier,Program:Slide_Table.Slide_Tbl_Position_WLDP,Program:Slide_Table.Slide_Tbl_Ramped_speed_FPM,Program:Slide_Table.Slide_Tbl_Ramped_speed_IPM,Program:Slide_Table.Slide_Tbl_Run_speed
2019-04-12T10:31:53.938218,/0.0, 19715.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:31:58.933504,/0.0, 19715.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:31:59.769552,/0.0, 19715.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:32:01.055625,/0.0, 19716.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:32:02.772724,/0.0, 19716.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:32:04.532824,/0.0, 19716.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:32:06.811955,/0.0, 19713.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:32:09.414103,/0.0, 19716.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:32:11.971250,/0.0, 19716.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:32:14.575399,/0.0, 19716.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:32:16.975536,/0.0, 19715.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:32:19.572684,/0.0, 19715.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:32:22.053826,/0.0, 19715.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:32:24.575971,/0.0, 19716.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:32:27.131117,/0.0, 19716.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:32:29.610259,/0.0, 19716.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:32:32.254410,/0.0, 19713.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:32:34.614545,/0.0, 19714.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:32:37.051684,/0.0, 19715.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:32:39.614831,/0.0, 19716.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:32:42.129975,/0.0, 19716.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:32:44.532112,/0.0, 19714.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:32:46.974252,/0.0, 19715.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:32:49.530398,/0.0, 19715.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:32:52.089544,/0.0, 19715.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:32:54.535684,/0.0, 19717.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:32:57.089830,/0.0, 19715.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:32:59.612975,/0.0, 19715.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:33:02.169121,/0.0, 19715.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:33:04.694265,/0.0, 19714.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:33:07.212409,/0.0, 19714.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:33:09.732553,/0.0, 19714.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:33:12.210695,/0.0, 19714.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:33:14.732839,/0.0, 19716.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:33:17.293986,/0.0, 19715.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:33:19.809130,/0.0, 19714.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:33:22.329274,/0.0, 19716.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:33:24.852418,/0.0, 19715.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:33:27.374563,/0.0, 19713.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:33:29.770700,/0.0, 19713.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:33:32.214839,/0.0, 19714.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:33:34.768985,/0.0, 19716.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:33:37.208125,/0.0, 19715.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:33:39.769271,/0.0, 19712.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:33:42.251413,/0.0, 19715.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:33:44.729555,/0.0, 19713.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:33:47.254700,/0.0, 19714.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:33:49.813846,/0.0, 19714.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:33:52.332990,/0.0, 19713.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:33:54.887136,/0.0, 19714.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:33:57.370278,/0.0, 19713.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:33:59.891422,/0.0, 19714.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:34:02.449569,/0.0, 19715.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:34:04.970713,/0.0, 19714.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:34:07.449855,/0.0, 19714.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:34:09.888994,/0.0, 19715.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:34:12.409138,/0.0, 19715.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:34:14.848278,/0.0, 19716.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:34:17.327420,/0.0, 19712.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:34:19.812562,/0.0, 19714.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:34:22.410710,/0.0, 19713.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:34:24.892852,/0.0, 19715.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:34:27.412997,/0.0, 19714.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:34:29.928140,/0.0, 19715.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:34:32.450285,/0.0, 19715.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:34:34.928426,/0.0, 19714.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:34:37.293562,/0.0, 19714.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:34:39.735701,/0.0, 19714.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:34:42.329850,/0.0, 19714.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:34:44.853994,/0.0, 19714.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:34:47.408140,/0.0, 19715.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:34:49.849280,/0.0, 19714.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:34:52.449429,/0.0, 19713.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:34:54.973573,/0.0, 19714.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:34:57.491717,/0.0, 19715.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:35:00.045863,/0.0, 19715.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
