utc,Program:Winder_Ratio_Detector.__lff6644cb00000f83,Program:Winder_Ratio_Detector.__lff6644cb208b6462,Program:Winder_Ratio_Detector.__lff6644cb5a963948,Program:Winder_Ratio_Detector.__lff6644cb6adc479d,Program:Winder_Ratio_Detector.__lff6644cb6f52829f,Program:Winder_Ratio_Detector.__lff6644cb8d689d49,Program:Winder_Ratio_Detector.__lff6644cbb5ff5b04,Program:Winder_Ratio_Detector.__lff6644cbf90ef335
2019-04-12T10:31:55.142287,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:32:04.338813,/1.0, 300.0, 3.3987674713134766, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:32:06.613943,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:32:09.255094,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:32:11.811241,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:32:14.291382,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:32:16.816527,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:32:19.412675,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:32:21.894817,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:32:24.415961,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:32:26.971108,/1.0, 300.0, 3.3987674713134766, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:32:29.450249,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:32:32.053398,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:32:34.495538,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:32:36.933677,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:32:39.454822,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:32:41.894961,/1.0, 300.0, 3.3987674713134766, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:32:44.372103,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:32:46.815243,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:32:49.374389,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:32:51.929535,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:32:54.412677,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:32:56.969823,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:32:59.453966,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:33:02.010112,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:33:04.534256,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:33:07.051400,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:33:09.571544,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:33:12.050686,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:33:14.531828,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:33:17.170979,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:33:19.572116,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:33:22.170265,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:33:24.692409,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:33:27.097547,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:33:29.611690,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:33:32.087832,/1.0, 300.0, 3.3987674713134766, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:33:34.609976,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:33:36.975112,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:33:39.609262,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:33:42.091404,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:33:44.570546,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:33:47.087690,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:33:49.648837,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:33:52.096977,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:33:54.691125,/1.0, 300.0, 3.3987674713134766, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:33:57.213269,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:33:59.768415,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:34:02.289560,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:34:04.810704,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:34:07.213841,/1.0, 300.0, 3.3987674713134766, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:34:09.688983,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:34:12.249129,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:34:14.689269,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:34:17.096406,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:34:19.652553,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:34:22.209699,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:34:24.733843,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:34:27.253987,/1.0, 300.0, 3.3987674713134766, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:34:29.731129,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:34:32.288275,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:34:34.768417,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:34:37.167554,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:34:39.647696,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:34:42.129838,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:34:44.652983,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:34:47.289133,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:34:49.689271,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:34:52.291419,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:34:54.768561,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:34:57.327708,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:34:59.887854,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:35:02.331994,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:35:04.852138,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:35:07.372282,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:35:09.972431,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:35:12.570579,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:35:15.128726,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:35:17.566865,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:35:20.050007,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:35:22.447144,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:35:25.087295,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:35:27.647442,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:35:30.210588,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:35:32.726732,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:35:35.210874,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:35:37.727018,/1.0, 300.0, 3.3987674713134766, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:35:40.288165,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:35:42.692302,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:35:45.247448,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:35:47.809595,/1.0, 300.0, 3.2229695320129395, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
