utc,Program:Line_Speed.Unwind_Remaining_Footage,Program:Line_Speed.Unwind_Web_Area,Program:Line_Speed.web_thickness,Program:Metering_Roll.__l5124c34c16ce4f90,Program:Metering_Roll.__l5124c34c49c86d5c,Program:Metering_Roll.__l5124c34c57a32631,Program:Metering_Roll.__l5124c34c58fe1ad3,Program:Metering_Roll.__l5124c34c5a963948,Program:Metering_Roll.__l5124c34c8d689d49
2019-04-12T10:31:53.589198,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16875000298023224/
2019-04-12T10:31:56.051339,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.1644623875617981, 0.16875000298023224/
2019-04-12T10:31:56.770380,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16250000894069672/
2019-04-12T10:31:57.414417,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16250000894069672/
2019-04-12T10:31:58.010451,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.1644623875617981, 0.16875000298023224/
2019-04-12T10:31:58.695490,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.1644623875617981, 0.16875000298023224/
2019-04-12T10:31:59.495536,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16875000298023224/
2019-04-12T10:32:00.613600,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16875000298023224/
2019-04-12T10:32:02.132687,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.1644623875617981, 0.16875000298023224/
2019-04-12T10:32:03.734779,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16875000298023224/
2019-04-12T10:32:05.890902,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16875000298023224/
2019-04-12T10:32:08.493051,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.1644623875617981, 0.16875000298023224/
2019-04-12T10:32:11.052197,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16875000298023224/
2019-04-12T10:32:13.652346,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16875000298023224/
2019-04-12T10:32:16.175490,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16875000298023224/
2019-04-12T10:32:18.732636,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16875000298023224/
2019-04-12T10:32:21.249780,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16875000298023224/
2019-04-12T10:32:23.777925,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16875000298023224/
2019-04-12T10:32:26.291069,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16875000298023224/
2019-04-12T10:32:28.809213,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.1644623875617981, 0.16250000894069672/
2019-04-12T10:32:31.370359,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.1644623875617981, 0.16875000298023224/
2019-04-12T10:32:33.849501,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.1644623875617981, 0.16875000298023224/
2019-04-12T10:32:36.255639,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16875000298023224/
2019-04-12T10:32:38.769782,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16875000298023224/
2019-04-12T10:32:41.254925,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16250000894069672/
2019-04-12T10:32:43.731066,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.1644623875617981, 0.16875000298023224/
2019-04-12T10:32:46.172206,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.1644623875617981, 0.16250000894069672/
2019-04-12T10:32:48.770354,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16875000298023224/
2019-04-12T10:32:51.217494,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.1644623875617981, 0.16250000894069672/
2019-04-12T10:32:53.695636,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16875000298023224/
2019-04-12T10:32:56.257783,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.1644623875617981, 0.16250000894069672/
2019-04-12T10:32:58.770926,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16875000298023224/
2019-04-12T10:33:01.332073,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16875000298023224/
2019-04-12T10:33:03.813215,/50917.171875, 115.45353698730469, 0.0003100000030826777, -30.0, 7.5, 30.0, 0.0, 0.16811710596084595, 0.16875000298023224/
