utc,Program:Metering_Roll.__l66b58c555a963948,Program:Metering_Roll.__l66b58c559de650ef,Program:Metering_Roll.__l66b58c55b5ff5b04,Program:Metering_Roll.__l66b58c55c24a9706,Program:Metering_Roll.__l66b58c55c7c28f94,Program:Metering_Roll.__l66b58c55d0c0ad05,Program:Metering_Roll.__l66b58c55d93afeea,Program:Metering_Roll.__l66b58c55f3d9ad47,Program:Metering_Roll.__l66b58c55fcc730f7
2019-04-12T10:31:53.978221,/0.20776832103729248, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16250000894069672/
2019-04-12T10:32:00.052568,/0.2765943706035614, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:32:01.458648,/0.27906519174575806, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16250000894069672/
2019-04-12T10:32:03.173746,/0.28181689977645874, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:32:05.052854,/0.285368412733078, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16250000894069672/
2019-04-12T10:32:07.610000,/0.010887817479670048, 7.5, 1400.0, 0.1644623875617981, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:32:10.095142,/0.007579101715236902, 7.5, 1400.0, 0.1644623875617981, 30000.0, 0.0, -30.0, 25.0, 0.16250000894069672/
2019-04-12T10:32:12.656289,/0.004370361566543579, 7.5, 1400.0, 0.1644623875617981, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:32:15.218435,/0.13944214582443237, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16250000894069672/
2019-04-12T10:32:17.809584,/0.13964208960533142, 7.5, 1400.0, 0.1644623875617981, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:32:20.289725,/0.27833202481269836, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:32:22.811870,/0.28188830614089966, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16250000894069672/
2019-04-12T10:32:25.373016,/0.28550171852111816, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16250000894069672/
2019-04-12T10:32:27.893160,/0.015077270567417145, 7.5, 1400.0, 0.1644623875617981, 30000.0, 0.0, -30.0, 25.0, 0.16250000894069672/
2019-04-12T10:32:30.410304,/0.011768555268645287, 7.5, 1400.0, 0.1644623875617981, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:32:32.972451,/0.008712158538401127, 7.5, 1400.0, 0.1644623875617981, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T10:32:35.369588,/0.14199389517307281, 7.5, 1400.0, 0.1644623875617981, 30000.0, 0.0, -30.0, 25.0, 0.16250000894069672/
2019-04-12T10:32:37.852730,/0.14216528832912445, 7.5, 1400.0, 0.1644623875617981, 30000.0, 0.0, -30.0, 25.0, 0.16250000894069672/
2019-04-12T10:32:40.370874,/0.14236047863960266, 7.5, 1400.0, 0.1644623875617981, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
